comparison_type,root,prompt_set_id,model_name,length_words,temperature_a,temperature_b,n_paired,mean_diff,median_diff,ci_low,ci_high,temperature,model_a,model_b,instance_set_id,length_a,length_b
length,longwiki-hybrid2,,grok-3-mini,,,,29,0.06016013526044992,0.06596491228070178,0.022977638779881984,0.09738102161602595,0.0,,,390d7396deb37bfedf50697a6e4e0cbf08cd592c6be5a00c23be76c8bb3f45cb,50.0,300.0
length,longwiki-hybrid2,,grok-3-mini,,,,28,0.009479025548294677,0.04483430799220267,-0.03480261791590824,0.05156676663164164,0.0,,,390d7396deb37bfedf50697a6e4e0cbf08cd592c6be5a00c23be76c8bb3f45cb,150.0,300.0
length,longwiki-hybrid2,,grok-3-mini,,,,29,0.08216051336614441,0.09469696969696961,0.029547152480452473,0.13433298657664458,0.25,,,390d7396deb37bfedf50697a6e4e0cbf08cd592c6be5a00c23be76c8bb3f45cb,50.0,150.0
length,longwiki-hybrid2,,grok-3-mini,,,,30,0.10345382395281393,0.08959476393686916,0.06547860867243147,0.14671083232918566,0.25,,,390d7396deb37bfedf50697a6e4e0cbf08cd592c6be5a00c23be76c8bb3f45cb,50.0,300.0
length,longwiki-hybrid2,,grok-3-mini,,,,29,0.024860683826421703,0.012585812356979309,-0.02660083359441609,0.0781331502609473,0.25,,,390d7396deb37bfedf50697a6e4e0cbf08cd592c6be5a00c23be76c8bb3f45cb,150.0,300.0
length,longwiki-hybrid2,,grok-3-mini,,,,30,0.0675735953207865,0.04978354978354982,0.01820159827153711,0.11935491736699493,0.5,,,390d7396deb37bfedf50697a6e4e0cbf08cd592c6be5a00c23be76c8bb3f45cb,50.0,150.0
length,longwiki-hybrid2,,grok-3-mini,,,,30,0.09137854375484605,0.10219552942173515,0.04462852700106781,0.13473650387560812,0.5,,,390d7396deb37bfedf50697a6e4e0cbf08cd592c6be5a00c23be76c8bb3f45cb,50.0,300.0
length,longwiki-hybrid2,,grok-3-mini,,,,30,0.02380494843405958,0.0375919074875517,-0.025518197925796498,0.06958199190163512,0.5,,,390d7396deb37bfedf50697a6e4e0cbf08cd592c6be5a00c23be76c8bb3f45cb,150.0,300.0
length,longwiki-hybrid2,,grok-3-mini,,,,29,0.04591123414575007,0.09686609686609693,-0.009463783241563394,0.10113907576463099,0.75,,,390d7396deb37bfedf50697a6e4e0cbf08cd592c6be5a00c23be76c8bb3f45cb,50.0,150.0
length,longwiki-hybrid2,,grok-3-mini,,,,30,0.07717049766215153,0.10310565015479878,0.02003735820138055,0.13116588420929745,0.75,,,390d7396deb37bfedf50697a6e4e0cbf08cd592c6be5a00c23be76c8bb3f45cb,50.0,300.0
